"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","method"
"alpha",369.735420806796,369.734975497349,0.527264769790219,NA,368.863202903695,370.61059757519,NA,NA,NA,"Exact"
"beta_male",173.414974618119,173.421988155395,0.677716505860331,NA,172.287381843087,174.531242085687,NA,NA,NA,"Exact"
"beta_bw",61.7659600356557,61.7682142240495,0.321646261403375,NA,61.2407978203922,62.2938801084464,NA,NA,NA,"Exact"
"beta_age",-13.8281135766216,-13.8268806066804,0.295738802183628,NA,-14.3104892734625,-13.3382165789451,NA,NA,NA,"Exact"
"sigma",97.0310772423091,96.9951354133389,0.204181033748021,NA,96.6832144564377,97.3080626946977,NA,NA,NA,"Exact"
"alpha",369.71298158,369.728715,0.611806515587291,0.567605997000047,368.7383455,370.6377445,1.01302320813021,369.032685161589,102.869530358091,"HMC"
"beta_male",173.45233841,173.4152,0.800538870820036,0.711499740000001,172.2904405,174.684104,1.01072691504078,321.438447062126,85.6821839095381,"HMC"
"beta_bw",61.731910542,61.750481,0.379534013882534,0.346538476199997,61.12380655,62.3028895,1.01256514177375,319.686175660947,101.940512602434,"HMC"
"beta_age",-13.68985219155,-13.8041725,0.88638787793076,0.3111287991,-14.28611165,-13.2171182,1.03484841740294,88.0493535052676,23.2377041930481,"HMC"
"sigma",97.0363562235,97.0253295,0.218096394724343,0.220733194499999,96.68298755,97.4128942,1.00541082772319,798.479692796287,837.37946436535,"HMC"
"alpha",27.308993161,27.3251775,1.39046378111043,1.4257304292,24.9913274,29.5158759,NA,NA,NA,"Mean-field VI"
"beta_male",28.046379931,28.054841,0.63292704698349,0.6149113152,27.00055345,29.10448805,NA,NA,NA,"Mean-field VI"
"beta_bw",27.2940966,27.2985635,0.249661811934606,0.245528938199999,26.88464215,27.70291025,NA,NA,NA,"Mean-field VI"
"beta_age",-17.709037407,-17.6986885,1.62071221124455,1.64449621350001,-20.53091905,-15.14655275,NA,NA,NA,"Mean-field VI"
"sigma",457.88624226,457.8518,1.18992540337102,1.19115049200007,455.849285,459.831438,NA,NA,NA,"Mean-field VI"
"alpha",25.874124003,25.857101,2.4798000056992,2.4826907952,21.6747144,29.87007965,NA,NA,NA,"Full-rank VI"
"beta_male",26.941051133,26.9812005,1.40746930041952,1.4663128977,24.5852343,29.15581915,NA,NA,NA,"Full-rank VI"
"beta_bw",25.900478684,25.8367815,1.64320048568773,1.6747664577,23.26534665,28.6519854,NA,NA,NA,"Full-rank VI"
"beta_age",-17.628680093,-17.612034,1.26457243008962,1.2940147626,-19.66058435,-15.5253761,NA,NA,NA,"Full-rank VI"
"sigma",488.03209268,485.409955,43.8346708916115,44.464397145,421.09158,563.117917,NA,NA,NA,"Full-rank VI"
