"summary_type","group_1","group_2","n","mean_total","sd_total"
"bodyweight_spread","F","[21.1,59]",9147,287.475998688094,69.6570698451882
"bodyweight_spread","F","(59,65.8]",7494,320.620157459301,67.9820331030562
"bodyweight_spread","F","(65.8,72.1]",6639,339.347005573129,72.3712393024104
"bodyweight_spread","F","(72.1,75.4]",3928,349.986420570265,73.5412713104831
"bodyweight_spread","F","(75.4,81.5]",3350,349.371140298507,78.7111777219151
"bodyweight_spread","F","(81.5,87]",2518,357.109733915806,80.718986291964
"bodyweight_spread","F","(87,91.8]",1521,357.791939513478,78.1574197061122
"bodyweight_spread","F","(91.8,99.3]",1655,359.699703927492,80.0492273970531
"bodyweight_spread","F","(99.3,109]",1356,366.747101769911,80.9450843150311
"bodyweight_spread","F","(109,230]",1541,396.833341985724,97.3551683274064
"bodyweight_spread","M","[21.1,59]",2214,364.334503161698,119.729007308021
"bodyweight_spread","M","(59,65.8]",3877,447.126306422492,96.595976796438
"bodyweight_spread","M","(65.8,72.1]",4605,468.042829533116,92.3296886105481
"bodyweight_spread","M","(72.1,75.4]",7428,518.449441303176,91.8999317019696
"bodyweight_spread","M","(75.4,81.5]",7986,523.338600050088,93.4666319074288
"bodyweight_spread","M","(81.5,87]",8779,561.181565098531,99.2450206459898
"bodyweight_spread","M","(87,91.8]",9867,572.172062430323,95.9953778755914
"bodyweight_spread","M","(91.8,99.3]",9618,600.888109794136,105.867744410196
"bodyweight_spread","M","(99.3,109]",9946,626.274748642671,110.753585760169
"bodyweight_spread","M","(109,230]",9781,658.231254472958,129.612282786516
"age_spread","F","[3.5,17.5]",3558,269.866936481169,81.7709485991618
"age_spread","F","(17.5,19.5]",2992,326.673820187166,68.4707178421345
"age_spread","F","(19.5,21]",2624,337.976673018293,65.8709986569958
"age_spread","F","(21,23]",4303,351.041914943063,69.9487037287245
"age_spread","F","(23,25]",3213,355.100718954248,71.0150971251073
"age_spread","F","(25,28]",4091,353.980865314104,75.1996910480714
"age_spread","F","(28,31.5]",3829,352.351062940716,74.4933983949861
"age_spread","F","(31.5,37]",4671,349.043198458574,80.9349081630467
"age_spread","F","(37,45.5]",4934,333.996840291852,76.6471535842819
"age_spread","F","(45.5,89]",4934,289.084872314552,74.8714613551453
"age_spread","M","[3.5,17.5]",9770,456.161495394063,119.847842696317
"age_spread","M","(17.5,19.5]",8914,544.031604218084,101.057374688966
"age_spread","M","(19.5,21]",6713,570.365298674214,101.461423036564
"age_spread","M","(21,23]",9142,595.270425508641,107.528966100613
"age_spread","M","(23,25]",6396,602.818774233896,112.614493135675
"age_spread","M","(25,28]",7669,609.116691876386,113.847903318449
"age_spread","M","(28,31.5]",6813,613.519326287979,119.181883633286
"age_spread","M","(31.5,37]",6891,606.992098389203,119.862437898223
"age_spread","M","(37,45.5]",5433,583.291949199337,116.410083499674
"age_spread","M","(45.5,89]",6360,488.819564465409,117.319877640796
"weight_class_summary","F","30",29,97.7241379310345,26.7663788998226
"weight_class_summary","F","31",4,75.625,9.65552518854706
"weight_class_summary","F","35",13,103.538461538462,17.7393883050092
"weight_class_summary","F","40",28,123.660714285714,16.2708860485295
"weight_class_summary","F","43",85,229.247058823529,48.4743196328277
"weight_class_summary","F","44",176,194.473579545455,65.455542593859
"weight_class_summary","F","47",590,271.875423728813,59.8874381850388
"weight_class_summary","F","47.8",2,150.82,43.3032192798642
"weight_class_summary","F","48",449,241.262516703786,61.845020721734
"weight_class_summary","F","50.5",2,205,45.9619407771256
"weight_class_summary","F","52",2221,282.677420081044,64.7655616706997
"weight_class_summary","F","53",19,259.394736842105,67.523777488495
