"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","method"
"alpha",393.24467466,394.86866,7.71730953579896,0.602484161999972,373.8681315,395.900789,1.0641533897525,84.6493252093635,11.4807881873701,"HMC"
"beta_male",181.39116051,179.98845,6.97774158775782,0.683411882999998,178.802788,196.376978,1.07294665709807,98.0911197562847,11.4944069600601,"HMC"
"beta_bw",58.54530551315,60.1885325,7.89620362648222,0.386384092500001,39.99095885,60.81158055,1.07383420576926,92.7555512398183,11.4944069600601,"HMC"
"beta_bw2",-5.547083982235,-5.97135045,2.04572459065703,0.20548502415,-6.31571105,-0.823757722500003,1.0669519993632,92.2458761447425,11.4813154455731,"HMC"
"beta_age",17.7072480069,18.4319095,3.12070032071094,0.427761234600002,5.72119764,19.133559,1.09983730086937,27.5757199154818,11.4944069600601,"HMC"
"beta_age2",-22.219638434,-22.4855045,1.16076686369462,0.225724367400002,-22.8224203,-17.9056102,1.09380039682933,28.8721447048449,11.4437905275637,"HMC"
"sigma",81.8273477185,81.6953285,0.838536725476152,0.295540001400003,81.22901665,82.4681047,1.05485266620307,57.7226197189869,12.553797936601,"HMC"
"nu",10.1275125765,10.191,0.502519986056384,0.290670401700001,8.957798145,10.705425,1.06438795569126,52.7581886068166,11.4906031232068,"HMC"
"alpha",35.077997402,35.115385,2.7919690468354,2.892374688,30.62488745,39.5329838,NA,NA,NA,"Mean-field VI"
"beta_male",36.737048427,36.737912,1.99150501131569,2.01980454269999,33.67430295,39.85424105,NA,NA,NA,"Mean-field VI"
"beta_bw",19.787428173,19.856375,1.60722251531959,1.5868897905,17.0206385,22.420121,NA,NA,NA,"Mean-field VI"
"beta_bw2",34.371626991,34.3895005,0.941048382465676,0.901126503899996,32.84260805,35.9233385,NA,NA,NA,"Mean-field VI"
"beta_age",-23.409770474,-23.5111845,2.96772220147952,2.815249836,-28.0967006,-18.492914,NA,NA,NA,"Mean-field VI"
"beta_age2",35.802359571,35.834872,2.42249134670223,2.478232617,31.6856132,39.8132341,NA,NA,NA,"Mean-field VI"
"sigma",392.16245167,392.153595,1.12861419549099,1.05885068099998,390.2353095,394.076403,NA,NA,NA,"Mean-field VI"
"nu",529.08224635,524.940355,50.1023837469351,50.967844284,451.500462,613.2191145,NA,NA,NA,"Mean-field VI"
"alpha",31.114643808,31.155402,2.88876849855528,2.8418654712,26.2202415,35.68356085,NA,NA,NA,"Full-rank VI"
"beta_male",29.780995134,29.7761555,1.34455606227373,1.282041285,27.49283065,31.9182146,NA,NA,NA,"Full-rank VI"
"beta_bw",15.947838551,15.952938,0.547205445304392,0.555433109700001,15.0716966,16.86252715,NA,NA,NA,"Full-rank VI"
"beta_bw2",28.817394708,28.824645,2.01625054942818,1.905674736,25.52429605,32.1139188,NA,NA,NA,"Full-rank VI"
"beta_age",-16.0554468545,-16.007505,3.31239773542783,3.3258305892,-21.3735262,-10.63133305,NA,NA,NA,"Full-rank VI"
"beta_age2",28.4287707,28.500489,2.67754164488938,2.7396016536,23.9728185,32.55479665,NA,NA,NA,"Full-rank VI"
"sigma",396.00833576,387.8011,82.0040785608764,80.754316104,277.731114,547.3260585,NA,NA,NA,"Full-rank VI"
"nu",458.56908706,443.855595,104.262446387804,95.926532856,310.104945,646.585132,NA,NA,NA,"Full-rank VI"
